time (since java epoch),time since bag start (ms),Manager centralmanager-vm1,Manager centralmanager-vm5,Manager centralmanager-vm9
1554991337889,1855888,0.02,0.01,0.01
1554991338184,1856183,0.02,0.02,0.01
1554991338854,1856853,0.02,0.02,0.010101010101010102
1554991338888,1856887,0.01020408163265306,0.02,0.010101010101010102
1554991339185,1857184,0.01020408163265306,0.02,0.010101010101010102
1554991339854,1857853,0.01020408163265306,0.02,0.0
1554991339888,1857887,0.04,0.02,0.0
1554991340185,1858184,0.04,0.02,0.0
1554991340854,1858853,0.04,0.02,0.010101010101010102
1554991340888,1858887,0.02,0.02,0.010101010101010102
1554991341185,1859184,0.02,0.019801980198019802,0.010101010101010102
1554991341855,1859854,0.02,0.019801980198019802,0.01
1554991341888,1859887,0.02,0.019801980198019802,0.01
1554991342184,1860183,0.02,0.02,0.01
1554991342854,1860853,0.02,0.02,0.010101010101010102
1554991342888,1860887,0.019801980198019802,0.02,0.010101010101010102
1554991343185,1861184,0.019801980198019802,0.01,0.010101010101010102
1554991343854,1861853,0.019801980198019802,0.01,0.0
1554991343888,1861887,0.02,0.01,0.0
1554991344185,1862184,0.02,0.02,0.0
1554991344854,1862853,0.02,0.02,0.010101010101010102
1554991344888,1862887,0.010101010101010102,0.02,0.010101010101010102
1554991345185,1863184,0.010101010101010102,0.01,0.010101010101010102
1554991345854,1863853,0.010101010101010102,0.01,0.0
1554991345888,1863887,0.010101010101010102,0.01,0.0
1554991346185,1864184,0.010101010101010102,0.010101010101010102,0.0
1554991346854,1864853,0.010101010101010102,0.010101010101010102,0.010101010101010102
1554991346889,1864888,0.02,0.010101010101010102,0.010101010101010102
1554991347184,1865183,0.02,0.01,0.010101010101010102
1554991347854,1865853,0.02,0.01,0.01
1554991347888,1865887,0.02,0.01,0.01
1554991348184,1866183,0.02,0.02,0.01
1554991348854,1866853,0.02,0.02,0.0
1554991348888,1866887,0.010101010101010102,0.02,0.0
1554991349184,1867183,0.010101010101010102,0.0,0.0
1554991349854,1867853,0.010101010101010102,0.0,0.0
1554991349889,1867888,0.010101010101010102,0.0,0.0
1554991350185,1868184,0.010101010101010102,0.02,0.0
1554991350854,1868853,0.010101010101010102,0.02,0.0
1554991350888,1868887,0.010101010101010102,0.02,0.0
1554991351185,1869184,0.010101010101010102,0.01,0.0
1554991351854,1869853,0.010101010101010102,0.01,0.0
1554991351889,1869888,0.0297029702970297,0.01,0.0
1554991352185,1870184,0.0297029702970297,0.010101010101010102,0.0
1554991352854,1870853,0.0297029702970297,0.010101010101010102,0.010101010101010102
